order_id,order_date,region,warehouse,sku,ordered_qty,shipped_qty,delayed_hours,on_time,exception_reason,supplier
SO-001,2026-04-01,East,WH-East,SKU-A,120,120,0,1,none,Alpha Manufacturing
SO-002,2026-04-01,East,WH-East,SKU-C,90,60,18,0,stockout,DeltaFlex
SO-003,2026-04-02,North,WH-North,SKU-D,80,65,9,0,carrier_delay,NorthLine
SO-004,2026-04-02,South,WH-South,SKU-B,110,110,0,1,none,Beta Components
SO-005,2026-04-03,East,WH-East,SKU-C,70,50,20,0,stockout,DeltaFlex
SO-006,2026-04-03,South,WH-South,SKU-E,95,95,0,1,none,Sunrise Parts
SO-007,2026-04-04,North,WH-North,SKU-D,100,82,11,0,supplier_delay,NorthLine
SO-008,2026-04-04,West,WH-West,SKU-A,105,105,0,1,none,Alpha Manufacturing
SO-009,2026-04-05,East,WH-East,SKU-F,130,118,6,0,picking_backlog,PrimePack
SO-010,2026-04-05,West,WH-West,SKU-C,88,88,0,1,none,DeltaFlex
SO-011,2026-04-06,East,WH-East,SKU-C,100,72,22,0,stockout,DeltaFlex
SO-012,2026-04-06,South,WH-South,SKU-B,120,120,0,1,none,Beta Components
SO-013,2026-04-07,North,WH-North,SKU-D,92,70,14,0,supplier_delay,NorthLine
SO-014,2026-04-07,West,WH-West,SKU-F,97,95,2,1,minor_delay,PrimePack
SO-015,2026-04-08,East,WH-East,SKU-C,85,60,16,0,stockout,DeltaFlex
SO-016,2026-04-08,South,WH-South,SKU-E,90,90,0,1,none,Sunrise Parts
SO-017,2026-04-09,East,WH-East,SKU-A,115,110,4,1,minor_delay,Alpha Manufacturing
SO-018,2026-04-09,North,WH-North,SKU-G,75,68,8,0,carrier_delay,FastMove
SO-019,2026-04-10,West,WH-West,SKU-B,108,108,0,1,none,Beta Components
SO-020,2026-04-10,East,WH-East,SKU-C,96,64,24,0,stockout,DeltaFlex
SO-021,2026-04-11,South,WH-South,SKU-F,102,100,3,1,minor_delay,PrimePack
SO-022,2026-04-11,North,WH-North,SKU-D,98,75,12,0,supplier_delay,NorthLine
SO-023,2026-04-12,East,WH-East,SKU-C,92,66,19,0,stockout,DeltaFlex
SO-024,2026-04-12,West,WH-West,SKU-E,100,100,0,1,none,Sunrise Parts

